event_time;event_time_date;order_id;product_model_id;category_id;category_name;sub_category_name;product_name;event_time_day;event_time_month;event_time_year;brand_name;price;user_id;Flag_data;Day Name;Hour_Rounded;Day Number;Avg_days_between_orders;Customer_Category;Order_Frequency_Bin;BasketSegment;favorite_category;Random
24/04/2020 14:37;24/04/2020;2294444024058086220;2273948319057183658;2268105430162997728;electronics;audio;headphone;24;4;2020;huawei;77.52;1515915625447879434;Fully Complete;Friday;15;4;90;Loyal (+3 orders);3 months;Large Basket;electronics;0.843131727
29/04/2020 10:46;29/04/2020;2297951447913857849;2273948319057183658;2268105430162997728;electronics;audio;headphone;29;4;2020;huawei;77.52;1515915625447879434;Fully Complete;Wednesday;11;2;90;Loyal (+3 orders);3 months;Large Basket;electronics;0.843131727
29/04/2020 10:46;29/04/2020;2297951447913857849;1515966223509088613;2268105430162997728;electronics;audio;headphone;29;4;2020;apple;203.68;1515915625447879434;Fully Complete;Wednesday;11;2;90;Loyal (+3 orders);3 months;Large Basket;electronics;0.843131727
24/04/2020 19:16;24/04/2020;2294584263154074236;2273948316817424439;2268105471367840086;Unknown;Unknown;Unknown;24;4;2020;karcher;217.57;1515915625443148002;Non-Critical Missing Data;Friday;19;4;;Occasional (1 order);;Average Basket;;0.843131727
16/05/2020 23:00;16/05/2020;2354507984224125723;1515966223509089754;2268105428166508982;electronics;Unknown;smartphone;16;5;2020;apple;208.31;1515915625450382722;Non-Critical Missing Data;Saturday;23;5;92;Loyal (+3 orders);4 months;Average Basket;furniture;0.843131727
16/05/2020 23:00;16/05/2020;2354507984224125723;1515966223511221441;2268105427872907696;Unknown;Unknown;Unknown;16;5;2020;technodom;23.13;1515915625450382722;Non-Critical Missing Data;Saturday;23;5;92;Loyal (+3 orders);4 months;Average Basket;furniture;0.843131727
26/04/2020 09:33;26/04/2020;2295740594749702229;1515966223509104892;2268105428166508982;electronics;Unknown;smartphone;26;4;2020;apple;1387.01;1515915625448766480;Non-Critical Missing Data;Sunday;10;6;30;Loyal (+3 orders);0-1 month;Large Basket;electronics;0.843131727
26/04/2020 09:33;26/04/2020;2295740594749702229;1515966223509104892;2268105428166508982;electronics;Unknown;smartphone;26;4;2020;apple;1387.01;1515915625448766480;Non-Critical Missing Data;Sunday;10;6;30;Loyal (+3 orders);0-1 month;Large Basket;electronics;0.843131727
26/04/2020 09:33;26/04/2020;2295740594749702229;1515966223509104892;2268105428166508982;electronics;Unknown;smartphone;26;4;2020;apple;1387.01;1515915625448766480;Non-Critical Missing Data;Sunday;10;6;30;Loyal (+3 orders);0-1 month;Large Basket;electronics;0.843131727
26/04/2020 09:33;26/04/2020;2295740594749702229;1515966223509104892;2268105428166508982;electronics;Unknown;smartphone;26;4;2020;apple;1387.01;1515915625448766480;Non-Critical Missing Data;Sunday;10;6;30;Loyal (+3 orders);0-1 month;Large Basket;electronics;0.843131727
